,value
2018-11-21 08:42:00,133
2018-11-21 08:43:00,126
2018-11-21 08:44:00,126
2018-11-21 08:45:00,132
2018-11-21 08:46:00,132
2018-11-21 08:47:00,137
2018-11-21 08:48:00,134
2018-11-21 08:49:00,122
2018-11-21 08:50:00,104
2018-11-21 08:51:00,97
2018-11-21 08:52:00,98
2018-11-21 08:53:00,77
2018-11-21 08:54:00,80
2018-11-21 08:55:00,84
2018-11-21 08:56:00,80
2018-11-21 08:57:00,82
2018-11-21 08:58:00,84
2018-11-21 08:59:00,80
2018-11-21 09:00:00,79
2018-11-21 09:01:00,78
2018-11-21 09:02:00,82
2018-11-21 09:03:00,81
2018-11-21 09:04:00,81
2018-11-21 09:05:00,85
2018-11-21 09:06:00,84
2018-11-21 09:07:00,82
2018-11-21 09:08:00,79
2018-11-21 09:09:00,80
2018-11-21 09:10:00,81
2018-11-21 09:11:00,78
2018-11-21 09:12:00,77
2018-11-21 09:13:00,77
2018-11-21 09:14:00,76
2018-11-21 09:15:00,78
2018-11-21 09:16:00,79
2018-11-21 09:17:00,78
2018-11-21 09:18:00,80
2018-11-21 09:19:00,77
2018-11-21 09:20:00,78
2018-11-21 09:21:00,79
2018-11-21 09:22:00,78
2018-11-21 09:23:00,78
2018-11-21 09:24:00,78
2018-11-21 09:25:00,77
2018-11-21 09:26:00,80
2018-11-21 09:27:00,80
2018-11-21 09:28:00,81
2018-11-21 09:29:00,82
2018-11-21 09:30:00,78
2018-11-21 09:31:00,76
2018-11-21 09:32:00,76
2018-11-21 09:33:00,77
2018-11-21 09:34:00,77
2018-11-21 09:35:00,77
2018-11-21 09:36:00,74
2018-11-21 09:37:00,77
2018-11-21 09:38:00,85
2018-11-21 09:39:00,96
2018-11-21 09:40:00,90
2018-11-21 09:41:00,70
2018-11-21 09:42:00,73
2018-11-21 09:43:00,78
2018-11-21 09:44:00,76
2018-11-21 09:45:00,78
2018-11-21 09:46:00,86
2018-11-21 09:47:00,76
2018-11-21 09:48:00,76
2018-11-21 09:49:00,75
2018-11-21 09:50:00,73
2018-11-21 09:51:00,69
2018-11-21 09:52:00,69
2018-11-21 09:53:00,69
2018-11-21 09:54:00,73
2018-11-21 09:55:00,72
2018-11-21 09:56:00,84
2018-11-21 09:57:00,92
2018-11-21 09:58:00,92
2018-11-21 09:59:00,93
2018-11-21 10:00:00,95
2018-11-21 10:01:00,95
2018-11-21 10:02:00,96
2018-11-21 10:03:00,86
2018-11-21 10:04:00,72
2018-11-21 10:05:00,68
2018-11-21 10:06:00,70
2018-11-21 10:07:00,76
2018-11-21 10:08:00,69
2018-11-21 10:09:00,69
2018-11-21 10:10:00,75
2018-11-21 10:11:00,69
2018-11-21 10:12:00,70
2018-11-21 10:13:00,68
2018-11-21 10:14:00,75
2018-11-21 10:15:00,63
2018-11-21 10:16:00,70
2018-11-21 10:17:00,70
2018-11-21 10:18:00,66
2018-11-21 10:19:00,66
2018-11-21 10:20:00,72
2018-11-21 10:21:00,71
2018-11-21 10:22:00,73
2018-11-21 10:23:00,68
2018-11-21 10:24:00,70
2018-11-21 10:25:00,69
2018-11-21 10:26:00,68
2018-11-21 10:27:00,71
2018-11-21 10:28:00,70
2018-11-21 10:29:00,69
2018-11-21 10:30:00,78
2018-11-21 10:31:00,88
2018-11-21 10:32:00,90
2018-11-21 10:33:00,89
2018-11-21 10:34:00,86
2018-11-21 10:35:00,87
2018-11-21 10:36:00,84
2018-11-21 10:37:00,82
2018-11-21 10:38:00,74
2018-11-21 10:39:00,72
2018-11-21 10:40:00,66
2018-11-21 10:41:00,66
2018-11-21 10:42:00,65
2018-11-21 10:43:00,69
2018-11-21 10:44:00,71
2018-11-21 10:45:00,71
2018-11-21 10:46:00,77
2018-11-21 10:47:00,77
2018-11-21 10:48:00,72
2018-11-21 10:49:00,66
2018-11-21 10:50:00,75
2018-11-21 10:51:00,81
2018-11-21 10:52:00,77
2018-11-21 10:53:00,76
2018-11-21 10:54:00,76
2018-11-21 10:55:00,72
2018-11-21 10:56:00,70
2018-11-21 10:57:00,66
2018-11-21 10:58:00,66
2018-11-21 10:59:00,64
2018-11-21 11:00:00,65
2018-11-21 11:01:00,65
2018-11-21 11:02:00,75
2018-11-21 11:03:00,75
2018-11-21 11:04:00,77
2018-11-21 11:05:00,81
2018-11-21 11:06:00,93
2018-11-21 11:07:00,101
2018-11-21 11:08:00,100
2018-11-21 11:09:00,91
2018-11-21 11:10:00,87
2018-11-21 11:11:00,92
2018-11-21 11:12:00,99
2018-11-21 11:13:00,106
2018-11-21 11:14:00,110
2018-11-21 11:15:00,112
2018-11-21 11:16:00,110
2018-11-21 11:17:00,104
2018-11-21 11:18:00,84
2018-11-21 11:19:00,77
2018-11-21 11:20:00,71
2018-11-21 11:21:00,68
2018-11-21 11:22:00,69
2018-11-21 11:23:00,69
2018-11-21 11:24:00,70
2018-11-21 11:25:00,74
2018-11-21 11:26:00,74
2018-11-21 11:27:00,74
2018-11-21 11:28:00,72
2018-11-21 11:29:00,67
2018-11-21 11:30:00,71
2018-11-21 11:31:00,73
2018-11-21 11:32:00,68
2018-11-21 11:33:00,70
2018-11-21 11:34:00,68
2018-11-21 11:35:00,61
2018-11-21 11:36:00,63
2018-11-21 11:37:00,68
